No,Longitude,Latitude,Date,Cruise,Zeu,Watermass,Distco,SST,SSS,SSChla,T,S,DIN,DIP,DSi,Chla,Chla_Micro,Chla_Nano,Chla_Pico,PPP,DPP,TPP,PER,BP,BR,BCD,BGE
55,115.82,22.28,2019/8/17,2019 (August),13.55,Oligotrophic,45.1,29.16,34.24,0.52,27.49,34.41,2.67,0.09,8.56,0.81,0.18,0.2,0.42,97.68,39.12,136.8,0.29,28.32,126,154.32,0.18
56,120.22,26.87,2020/8/30,2020 (August),7.59,Plume,1,28.92,26.02,7.7,28.9,26.03,9.77,0.56,23.43,5.45,3.73,1.6,0.12,590.64,48,638.4,0.08,18.24,742.32,760.56,0.02
57,120.21,26.75,2020/8/30,2020 (August),6.78,Plume,3.03,28.95,26.08,5.71,28.84,26.1,8.27,0.59,20.8,4.02,2.71,1.23,0.08,523.44,44.88,568.32,0.08,19.68,642.24,661.92,0.03
58,119.83,26.49,2021/7/3,2021 (July-August),5.69,Plume,1.74,27.45,27.72,2.4,27.2,28.22,10.03,0.33,31.66,2.43,1.45,0.89,0.09,396.72,26.64,423.36,0.06,13.44,468.72,482.16,0.03
59,119.97,26.44,2021/7/4,2021 (July-August),5.15,Plume,4.81,26.98,27.76,3.56,26.76,28.29,8.33,0.27,25.37,3.1,1.76,1.21,0.13,333.6,28.32,361.68,0.08,13.92,390,403.92,0.03
60,118.2,24.53,2021/8/9,2021 (July-August),4.07,Plume,1,28.1,28.47,2.89,27.95,28.94,35.67,1.82,44.73,2.74,0.88,1.68,0.18,177.6,9.12,186.72,0.05,10.32,62.64,72.96,0.14
61,118.23,24.5,2021/8/9,2021 (July-August),3.79,Plume,2.64,28.01,28.88,2.65,27.89,29.19,19.45,1.31,59.73,2.33,0.76,1.42,0.15,71.52,3.12,74.64,0.04,4.32,20.88,25.2,0.17
62,118.02,24.43,2021/8/10,2021 (July-August),1.36,Plume,1,28.16,13.05,2.85,28.13,14.27,57.93,2.51,90.58,2.83,0.9,1.85,0.08,352.08,10.8,362.88,0.03,18.24,80.16,98.4,0.19
63,118.14,24.4,2021/8/10,2021 (July-August),1.9,Plume,1,28.06,23.78,2.43,28.01,24.28,30.66,1.39,44.47,2.41,0.65,1.68,0.08,233.28,7.68,240.96,0.03,12.72,50.64,63.36,0.2
64,118.19,24.35,2021/8/10,2021 (July-August),2.71,Plume,1,27.99,28.91,2.06,27.92,29.43,15.6,0.78,23.2,2.01,0.7,1.22,0.09,146.16,6.96,153.12,0.05,9.12,44.88,54,0.17
65,120.73,26.19,2022/8/15,2022 (August),20.33,Mixed,25.75,27.18,33.42,0.98,26.89,33.42,4.21,0.11,16.63,1.1,0.28,0.48,0.34,95.76,28.8,124.56,0.23,18.72,145.68,164.4,0.11
66,121.15,25.96,2022/8/15,2022 (August),31.17,Oligotrophic,76.83,27.89,33.63,0.49,27.61,33.67,2.6,0.04,11.04,0.51,0.06,0.23,0.21,42.24,9.12,51.36,0.18,12.24,23.04,35.28,0.35
67,119.82,26.21,2022/8/15,2022 (August),0.81,Plume,6.08,25.68,27.12,4.15,25.67,27.12,34.64,1.22,88.16,4.07,2.52,1.42,0.13,395.04,25.2,420.24,0.06,9.84,372,381.84,0.03
68,119.93,26.09,2022/8/15,2022 (August),1.08,Plume,5.01,25.15,28.1,3.6,25.13,28.11,42.95,1.69,114.11,3.54,1.95,1.46,0.12,411.36,30,441.36,0.07,15.84,384.96,400.8,0.04
69,119.75,26.04,2022/8/15,2022 (August),1.36,Plume,5.3,25.9,23.98,3.8,25.89,24,52.33,2.12,174.19,3.72,2.43,1.22,0.07,468.72,17.04,485.76,0.04,7.2,253.44,260.64,0.03
70,119.78,25.94,2022/8/15,2022 (August),1.63,Plume,7.97,25.92,24.27,4.53,25.91,24.29,27.83,1.38,121.39,4.51,2.62,1.78,0.11,516.96,29.52,546.48,0.05,20.4,380.64,401.04,0.05
71,116.75,23.03,2022/8/15,2022 (August),10.84,Mixed,15.38,26.78,33.4,1.26,25.69,33.75,3.63,0.24,11.76,1.22,0.33,0.7,0.19,189.6,14.64,204.48,0.07,12.48,73.2,85.68,0.15
72,116.92,23.49,2022/8/23,2022 (August),2.17,Plume,4.19,26.65,28.98,1.26,26.55,28.98,10.69,0.69,70,1.35,0.5,0.7,0.14,315.12,22.56,337.92,0.07,17.76,142.32,160.08,0.11
73,116.84,23.39,2022/8/23,2022 (August),1.63,Plume,1,26.69,17.65,0.93,26.6,17.65,20.85,0.96,90.5,1,0.38,0.52,0.1,350.88,18.48,369.36,0.05,18.96,119.76,138.72,0.14
74,116.78,23.3,2022/8/23,2022 (August),2.71,Plume,1,26.7,17.95,1.01,26.59,17.96,15.76,0.82,78,1.08,0.42,0.54,0.12,312.96,20.4,333.36,0.06,18.24,125.28,143.52,0.13
